Ticket_ID,Property_Cluster,Building_Type,Issue_Category,Maintenance_Type,Asset_Criticality,Priority_Level,Created_Timestamp,First_Response_Timestamp,Resolved_Timestamp,Vendor_ID,Vendor_Tier,SLA_Target_Hours,SLA_Breached,Root_Cause_Tag,Resolution_Time_Hours,Response_Time_Minutes,Delay_Bucket,Vendor_Reliability_Index
TKT-100000,C Campus,IT Park,Electrical,Preventive,Low,Low,21-11-2025 23:52,22-11-2025 00:54,47:25.0,V-02,Standard,6,False,Misdiagnosis,3.91,62,On Time,0.74
TKT-100001,A Campus,Mall,HVAC,Emergency,High,High,07-10-2025 03:07,07-10-2025 04:15,05:22.7,V-01,Preferred,8,False,Repeat Failure,3.96,68,On Time,0.87
TKT-100002,C Campus,Office Tower,Plumbing,Preventive,Medium,Medium,23-08-2025 22:58,23-08-2025 23:37,43:36.7,V-09,Preferred,10,False,Repeat Failure,4.75,39,On Time,0.89
TKT-100003,C Campus,Office Tower,Elevator,Emergency,High,High,25-07-2025 05:43,25-07-2025 06:37,23:47.0,V-03,Preferred,4,True,Part Unavailable,4.66,54,Minor Delay,0.74
TKT-100004,C Campus,Mall,Electrical,Preventive,Medium,Medium,16-07-2025 11:51,16-07-2025 12:35,55:09.1,V-22,Preferred,6,False,Technician Delay,4.06,44,On Time,0.85
TKT-100005,C Campus,IT Park,Plumbing,Emergency,High,High,12-10-2025 17:16,12-10-2025 18:01,46:43.9,V-25,Preferred,10,True,Technician Delay,11.51,45,Minor Delay,0.74
TKT-100006,A Campus,IT Park,Electrical,Preventive,Medium,Medium,16-09-2025 21:33,16-09-2025 22:20,05:27.2,V-21,Preferred,6,True,Technician Delay,6.53,47,Minor Delay,0.67
TKT-100007,A Campus,Hospital,Plumbing,Emergency,High,High,17-08-2025 21:22,17-08-2025 22:54,31:26.4,V-05,Standard,10,True,Part Unavailable,10.16,92,Minor Delay,0.51
TKT-100008,B Campus,IT Park,HVAC,Preventive,Low,Low,15-12-2025 05:01,15-12-2025 06:08,21:05.0,V-15,Backup,8,False,Repeat Failure,6.32,67,On Time,0.51
TKT-100009,B Campus,IT Park,Electrical,Emergency,High,High,10-11-2025 09:00,10-11-2025 10:19,52:18.7,V-24,Standard,6,True,Technician Delay,6.87,79,Minor Delay,0.5
TKT-100010,B Campus,Mall,HVAC,Preventive,Medium,Medium,25-12-2025 05:09,25-12-2025 05:45,04:08.0,V-18,Preferred,8,True,Repeat Failure,8.92,36,Minor Delay,0.66
TKT-100011,A Campus,Hospital,HVAC,Preventive,Medium,Medium,04-07-2025 18:46,04-07-2025 19:23,14:21.6,V-03,Preferred,8,True,Technician Delay,9.47,37,Minor Delay,0.73
TKT-100012,C Campus,Office Tower,Electrical,Emergency,High,High,25-11-2025 16:39,25-11-2025 18:13,49:37.5,V-14,Backup,6,False,Misdiagnosis,5.16,94,On Time,0.56
TKT-100013,C Campus,Mall,Access Control,Preventive,Low,Low,16-09-2025 11:26,16-09-2025 12:53,05:05.1,V-19,Standard,12,False,Repeat Failure,5.65,87,On Time,0.66
TKT-100014,A Campus,Mall,HVAC,Emergency,High,High,14-07-2025 18:51,14-07-2025 20:01,53:26.0,V-16,Preferred,8,False,Technician Delay,4.04,70,On Time,0.86
TKT-100015,C Campus,Mall,Electrical,Emergency,High,High,17-08-2025 04:26,17-08-2025 06:01,11:52.1,V-24,Standard,6,False,Approval Pending,5.75,95,On Time,0.74
TKT-100016,C Campus,IT Park,HVAC,Preventive,Medium,Medium,17-09-2025 04:21,17-09-2025 05:12,19:16.5,V-15,Preferred,8,False,Repeat Failure,7.97,51,On Time,0.86
TKT-100017,A Campus,Office Tower,HVAC,Preventive,Low,Low,20-07-2025 00:17,20-07-2025 01:05,37:54.9,V-14,Standard,8,True,Part Unavailable,8.34,48,Minor Delay,0.52
TKT-100018,B Campus,Mall,HVAC,Preventive,Low,Low,23-12-2025 05:41,23-12-2025 06:29,40:12.2,V-23,Standard,8,False,Misdiagnosis,4.98,48,On Time,0.65
TKT-100019,C Campus,Office Tower,Elevator,Emergency,High,High,06-08-2025 20:59,06-08-2025 21:47,47:32.9,V-16,Preferred,4,False,Part Unavailable,1.8,48,On Time,0.81
TKT-100020,C Campus,Mall,Elevator,Preventive,Medium,Medium,07-10-2025 14:39,07-10-2025 15:14,25:17.4,V-19,Preferred,4,True,Part Unavailable,4.77,35,Minor Delay,0.71
TKT-100021,C Campus,IT Park,Electrical,Preventive,Medium,Medium,20-09-2025 09:43,20-09-2025 11:10,46:58.5,V-13,Standard,6,True,Approval Pending,6.05,87,Minor Delay,0.57
TKT-100022,C Campus,Hospital,Elevator,Preventive,Medium,Medium,31-08-2025 09:29,31-08-2025 10:03,17:07.2,V-05,Preferred,4,False,Misdiagnosis,1.79,34,On Time,0.84
TKT-100023,A Campus,Mall,Elevator,Preventive,Medium,Medium,25-08-2025 08:08,25-08-2025 09:03,15:53.7,V-22,Standard,4,True,Technician Delay,6.13,55,Major Delay,0.51
TKT-100024,B Campus,IT Park,Electrical,Preventive,Medium,Medium,21-08-2025 08:30,21-08-2025 09:07,58:49.4,V-22,Preferred,6,False,Part Unavailable,5.48,37,On Time,0.8
TKT-100025,B Campus,Office Tower,HVAC,Preventive,Medium,Medium,23-12-2025 19:10,23-12-2025 19:43,59:20.1,V-09,Preferred,8,False,Misdiagnosis,3.82,33,On Time,0.87
